WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
2023-09-23,Middle East,Iran,Alborz,Battles,Armed clash,1,0,581015.0,Political violence,1329.0,35.9457,50.906
2026-02-28,Middle East,Iran,Alborz,Battles,Armed clash,1,0,489244.0,Political violence,1329.0,35.9457,50.906
2021-06-19,Middle East,Iran,Alborz,Explosions/Remote violence,Air/drone strike,1,0,567112.0,Political violence,1329.0,35.9457,50.906
2024-10-26,Middle East,Iran,Alborz,Explosions/Remote violence,Air/drone strike,1,0,114927.0,Political violence,1329.0,35.9457,50.906
2025-06-07,Middle East,Iran,Alborz,Explosions/Remote violence,Air/drone strike,2,2,231738.0,Political violence,1329.0,35.9457,50.906
2025-06-14,Middle East,Iran,Alborz,Explosions/Remote violence,Air/drone strike,18,4,1659592.0,Political violence,1329.0,35.9457,50.906
2025-06-21,Middle East,Iran,Alborz,Explosions/Remote violence,Air/drone strike,4,46,692928.0,Political violence,1329.0,35.9457,50.906
2026-02-28,Middle East,Iran,Alborz,Explosions/Remote violence,Air/drone strike,19,1,1119032.0,Political violence,1329.0,35.9457,50.906
2026-03-07,Middle East,Iran,Alborz,Explosions/Remote violence,Air/drone strike,31,7,1972498.0,Political violence,1329.0,35.9457,50.906
2026-03-14,Middle East,Iran,Alborz,Explosions/Remote violence,Air/drone strike,18,0,1203643.0,Political violence,1329.0,35.9457,50.906
2026-03-21,Middle East,Iran,Alborz,Explosions/Remote violence,Air/drone strike,45,0,2008253.0,Political violence,1329.0,35.9457,50.906
2026-03-28,Middle East,Iran,Alborz,Explosions/Remote violence,Air/drone strike,37,22,1695111.0,Political violence,1329.0,35.9457,50.906
2026-04-04,Middle East,Iran,Alborz,Explosions/Remote violence,Air/drone strike,29,17,1466459.0,Political violence,1329.0,35.9457,50.906
2020-07-04,Middle East,Iran,Alborz,Explosions/Remote violence,Remote explosive/landmine/IED,1,0,123789.0,Political violence,1329.0,35.9457,50.906
2026-03-21,Middle East,Iran,Alborz,Explosions/Remote violence,Shelling/artillery/missile attack,1,0,489244.0,Political violence,1329.0,35.9457,50.906
2022-09-17,Middle East,Iran,Alborz,Protests,Excessive force against protesters,1,1,7603.0,Political violence; Demonstrations,1329.0,35.9457,50.906
2022-09-24,Middle East,Iran,Alborz,Protests,Excessive force against protesters,1,1,41421.0,Political violence; Demonstrations,1329.0,35.9457,50.906
2022-10-08,Middle East,Iran,Alborz,Protests,Excessive force against protesters,1,0,41421.0,Political violence; Demonstrations,1329.0,35.9457,50.906
2022-11-26,Middle East,Iran,Alborz,Protests,Excessive force against protesters,2,2,41421.0,Political violence; Demonstrations,1329.0,35.9457,50.906
2022-12-03,Middle East,Iran,Alborz,Protests,Excessive force against protesters,1,1,23543.0,Political violence; Demonstrations,1329.0,35.9457,50.906
2023-05-13,Middle East,Iran,Alborz,Protests,Excessive force against protesters,1,0,41997.0,Political violence; Demonstrations,1329.0,35.9457,50.906
2026-01-03,Middle East,Iran,Alborz,Protests,Excessive force against protesters,4,11,64219.0,Political violence; Demonstrations,1329.0,35.9457,50.906
2026-01-10,Middle East,Iran,Alborz,Protests,Excessive force against protesters,1,1,,Political violence; Demonstrations,1329.0,35.9457,50.906
2016-04-16,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,7120.0,Demonstrations,1329.0,35.9457,50.906
2016-05-14,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,7120.0,Demonstrations,1329.0,35.9457,50.906
2016-05-21,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,38592.0,Demonstrations,1329.0,35.9457,50.906
2016-07-09,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,38592.0,Demonstrations,1329.0,35.9457,50.906
2016-09-03,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,38592.0,Demonstrations,1329.0,35.9457,50.906
2016-10-15,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,38592.0,Demonstrations,1329.0,35.9457,50.906
2016-10-29,Middle East,Iran,Alborz,Protests,Peaceful protest,2,0,38592.0,Demonstrations,1329.0,35.9457,50.906
2016-11-05,Middle East,Iran,Alborz,Protests,Peaceful protest,3,0,38592.0,Demonstrations,1329.0,35.9457,50.906
2016-12-10,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,7120.0,Demonstrations,1329.0,35.9457,50.906
2017-03-04,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,39225.0,Demonstrations,1329.0,35.9457,50.906
2017-06-24,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,12545.0,Demonstrations,1329.0,35.9457,50.906
2017-07-01,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,39225.0,Demonstrations,1329.0,35.9457,50.906
2017-07-15,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,39225.0,Demonstrations,1329.0,35.9457,50.906
2017-07-29,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,39225.0,Demonstrations,1329.0,35.9457,50.906
2017-09-02,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,39225.0,Demonstrations,1329.0,35.9457,50.906
2017-09-16,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,39225.0,Demonstrations,1329.0,35.9457,50.906
2017-10-28,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,12545.0,Demonstrations,1329.0,35.9457,50.906
2017-11-18,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,39225.0,Demonstrations,1329.0,35.9457,50.906
2017-11-25,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,39225.0,Demonstrations,1329.0,35.9457,50.906
2017-12-02,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,10323.0,Demonstrations,1329.0,35.9457,50.906
2017-12-09,Middle East,Iran,Alborz,Protests,Peaceful protest,2,0,46452.0,Demonstrations,1329.0,35.9457,50.906
2017-12-30,Middle East,Iran,Alborz,Protests,Peaceful protest,5,0,47031.0,Demonstrations,1329.0,35.9457,50.906
2018-01-20,Middle East,Iran,Alborz,Protests,Peaceful protest,2,0,39804.0,Demonstrations,1329.0,35.9457,50.906
2018-01-27,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,39804.0,Demonstrations,1329.0,35.9457,50.906
2018-02-03,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,39804.0,Demonstrations,1329.0,35.9457,50.906
2018-02-10,Middle East,Iran,Alborz,Protests,Peaceful protest,3,0,66733.0,Demonstrations,1329.0,35.9457,50.906
2018-02-17,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,39804.0,Demonstrations,1329.0,35.9457,50.906
2018-02-24,Middle East,Iran,Alborz,Protests,Peaceful protest,2,0,39804.0,Demonstrations,1329.0,35.9457,50.906
2018-03-03,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,39804.0,Demonstrations,1329.0,35.9457,50.906
2018-03-10,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,39804.0,Demonstrations,1329.0,35.9457,50.906
2018-04-07,Middle East,Iran,Alborz,Protests,Peaceful protest,2,0,39804.0,Demonstrations,1329.0,35.9457,50.906
2018-04-21,Middle East,Iran,Alborz,Protests,Peaceful protest,4,0,49734.0,Demonstrations,1329.0,35.9457,50.906
2018-04-28,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,39804.0,Demonstrations,1329.0,35.9457,50.906
2018-05-05,Middle East,Iran,Alborz,Protests,Peaceful protest,2,0,9930.0,Demonstrations,1329.0,35.9457,50.906
2018-05-19,Middle East,Iran,Alborz,Protests,Peaceful protest,2,0,39804.0,Demonstrations,1329.0,35.9457,50.906
2018-05-26,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,39804.0,Demonstrations,1329.0,35.9457,50.906
2018-06-09,Middle East,Iran,Alborz,Protests,Peaceful protest,3,0,39804.0,Demonstrations,1329.0,35.9457,50.906
2018-06-16,Middle East,Iran,Alborz,Protests,Peaceful protest,2,0,45760.0,Demonstrations,1329.0,35.9457,50.906
2018-06-23,Middle East,Iran,Alborz,Protests,Peaceful protest,5,0,45760.0,Demonstrations,1329.0,35.9457,50.906
2018-07-21,Middle East,Iran,Alborz,Protests,Peaceful protest,3,0,47133.0,Demonstrations,1329.0,35.9457,50.906
2018-07-28,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,39804.0,Demonstrations,1329.0,35.9457,50.906
2018-08-04,Middle East,Iran,Alborz,Protests,Peaceful protest,3,0,45760.0,Demonstrations,1329.0,35.9457,50.906
2018-08-18,Middle East,Iran,Alborz,Protests,Peaceful protest,2,0,50272.0,Demonstrations,1329.0,35.9457,50.906
2018-08-25,Middle East,Iran,Alborz,Protests,Peaceful protest,2,0,39804.0,Demonstrations,1329.0,35.9457,50.906
2018-09-29,Middle East,Iran,Alborz,Protests,Peaceful protest,5,0,39804.0,Demonstrations,1329.0,35.9457,50.906
2018-10-06,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,39804.0,Demonstrations,1329.0,35.9457,50.906
2018-10-13,Middle East,Iran,Alborz,Protests,Peaceful protest,3,0,39804.0,Demonstrations,1329.0,35.9457,50.906
2018-10-27,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,39804.0,Demonstrations,1329.0,35.9457,50.906
2018-11-10,Middle East,Iran,Alborz,Protests,Peaceful protest,4,0,39804.0,Demonstrations,1329.0,35.9457,50.906
2018-11-17,Middle East,Iran,Alborz,Protests,Peaceful protest,4,0,39804.0,Demonstrations,1329.0,35.9457,50.906
2018-11-24,Middle East,Iran,Alborz,Protests,Peaceful protest,6,0,39804.0,Demonstrations,1329.0,35.9457,50.906
2018-12-01,Middle East,Iran,Alborz,Protests,Peaceful protest,5,0,39804.0,Demonstrations,1329.0,35.9457,50.906
2018-12-15,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,39804.0,Demonstrations,1329.0,35.9457,50.906
2019-01-05,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,40290.0,Demonstrations,1329.0,35.9457,50.906
2019-01-19,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,40290.0,Demonstrations,1329.0,35.9457,50.906
2019-01-26,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,7412.0,Demonstrations,1329.0,35.9457,50.906
2019-02-02,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,40290.0,Demonstrations,1329.0,35.9457,50.906
2019-02-09,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,40290.0,Demonstrations,1329.0,35.9457,50.906
2019-02-16,Middle East,Iran,Alborz,Protests,Peaceful protest,3,0,40290.0,Demonstrations,1329.0,35.9457,50.906
2019-02-23,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,19987.0,Demonstrations,1329.0,35.9457,50.906
2019-03-02,Middle East,Iran,Alborz,Protests,Peaceful protest,8,0,47702.0,Demonstrations,1329.0,35.9457,50.906
2019-04-27,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,40290.0,Demonstrations,1329.0,35.9457,50.906
2019-05-11,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,40290.0,Demonstrations,1329.0,35.9457,50.906
2019-05-18,Middle East,Iran,Alborz,Protests,Peaceful protest,2,0,40290.0,Demonstrations,1329.0,35.9457,50.906
2019-05-25,Middle East,Iran,Alborz,Protests,Peaceful protest,15,0,171686.0,Demonstrations,1329.0,35.9457,50.906
2019-06-15,Middle East,Iran,Alborz,Protests,Peaceful protest,2,0,40290.0,Demonstrations,1329.0,35.9457,50.906
2019-07-27,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,7412.0,Demonstrations,1329.0,35.9457,50.906
2019-09-28,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,7412.0,Demonstrations,1329.0,35.9457,50.906
2019-10-26,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,40290.0,Demonstrations,1329.0,35.9457,50.906
2019-11-02,Middle East,Iran,Alborz,Protests,Peaceful protest,4,0,53729.0,Demonstrations,1329.0,35.9457,50.906
2019-11-09,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,12871.0,Demonstrations,1329.0,35.9457,50.906
2019-11-16,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,7412.0,Demonstrations,1329.0,35.9457,50.906
2019-12-21,Middle East,Iran,Alborz,Protests,Peaceful protest,3,0,40290.0,Demonstrations,1329.0,35.9457,50.906
2019-12-28,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,40290.0,Demonstrations,1329.0,35.9457,50.906
2020-01-11,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,40704.0,Demonstrations,1329.0,35.9457,50.906
2020-01-18,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,40704.0,Demonstrations,1329.0,35.9457,50.906
2020-03-14,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,40704.0,Demonstrations,1329.0,35.9457,50.906
2020-04-18,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,40704.0,Demonstrations,1329.0,35.9457,50.906
2020-04-25,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,40704.0,Demonstrations,1329.0,35.9457,50.906
2020-05-09,Middle East,Iran,Alborz,Protests,Peaceful protest,2,0,40704.0,Demonstrations,1329.0,35.9457,50.906
2020-06-06,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,40704.0,Demonstrations,1329.0,35.9457,50.906
2020-06-27,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,40704.0,Demonstrations,1329.0,35.9457,50.906
2020-07-04,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,10696.0,Demonstrations,1329.0,35.9457,50.906
2020-07-11,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,40704.0,Demonstrations,1329.0,35.9457,50.906
2020-07-25,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,40704.0,Demonstrations,1329.0,35.9457,50.906
2020-08-08,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,40704.0,Demonstrations,1329.0,35.9457,50.906
2020-08-15,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,40704.0,Demonstrations,1329.0,35.9457,50.906
2020-08-22,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,40704.0,Demonstrations,1329.0,35.9457,50.906
2020-09-05,Middle East,Iran,Alborz,Protests,Peaceful protest,3,0,40704.0,Demonstrations,1329.0,35.9457,50.906
2020-10-03,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,40704.0,Demonstrations,1329.0,35.9457,50.906
2020-10-10,Middle East,Iran,Alborz,Protests,Peaceful protest,2,0,40704.0,Demonstrations,1329.0,35.9457,50.906
2020-11-21,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,12998.0,Demonstrations,1329.0,35.9457,50.906
2020-11-28,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,40704.0,Demonstrations,1329.0,35.9457,50.906
2020-12-12,Middle East,Iran,Alborz,Protests,Peaceful protest,2,0,40704.0,Demonstrations,1329.0,35.9457,50.906
2020-12-19,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,40704.0,Demonstrations,1329.0,35.9457,50.906
2020-12-26,Middle East,Iran,Alborz,Protests,Peaceful protest,2,0,40704.0,Demonstrations,1329.0,35.9457,50.906
2021-01-02,Middle East,Iran,Alborz,Protests,Peaceful protest,5,0,40940.0,Demonstrations,1329.0,35.9457,50.906
2021-01-09,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,40940.0,Demonstrations,1329.0,35.9457,50.906
2021-01-16,Middle East,Iran,Alborz,Protests,Peaceful protest,2,0,7522.0,Demonstrations,1329.0,35.9457,50.906
2021-01-23,Middle East,Iran,Alborz,Protests,Peaceful protest,2,0,40940.0,Demonstrations,1329.0,35.9457,50.906
2021-02-13,Middle East,Iran,Alborz,Protests,Peaceful protest,2,0,40940.0,Demonstrations,1329.0,35.9457,50.906
2021-02-20,Middle East,Iran,Alborz,Protests,Peaceful protest,2,0,40940.0,Demonstrations,1329.0,35.9457,50.906
2021-02-27,Middle East,Iran,Alborz,Protests,Peaceful protest,3,0,48462.0,Demonstrations,1329.0,35.9457,50.906
2021-03-06,Middle East,Iran,Alborz,Protests,Peaceful protest,3,0,40940.0,Demonstrations,1329.0,35.9457,50.906
2021-03-13,Middle East,Iran,Alborz,Protests,Peaceful protest,2,0,40940.0,Demonstrations,1329.0,35.9457,50.906
2021-03-27,Middle East,Iran,Alborz,Protests,Peaceful protest,4,0,40940.0,Demonstrations,1329.0,35.9457,50.906
2021-04-03,Middle East,Iran,Alborz,Protests,Peaceful protest,3,0,40940.0,Demonstrations,1329.0,35.9457,50.906
2021-04-10,Middle East,Iran,Alborz,Protests,Peaceful protest,2,0,40940.0,Demonstrations,1329.0,35.9457,50.906
2021-04-17,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,40940.0,Demonstrations,1329.0,35.9457,50.906
2021-04-24,Middle East,Iran,Alborz,Protests,Peaceful protest,2,0,40940.0,Demonstrations,1329.0,35.9457,50.906
2021-05-01,Middle East,Iran,Alborz,Protests,Peaceful protest,4,0,40940.0,Demonstrations,1329.0,35.9457,50.906
2021-05-08,Middle East,Iran,Alborz,Protests,Peaceful protest,2,0,48462.0,Demonstrations,1329.0,35.9457,50.906
2021-05-15,Middle East,Iran,Alborz,Protests,Peaceful protest,2,0,40940.0,Demonstrations,1329.0,35.9457,50.906
2021-05-22,Middle East,Iran,Alborz,Protests,Peaceful protest,2,0,40940.0,Demonstrations,1329.0,35.9457,50.906
2021-05-29,Middle East,Iran,Alborz,Protests,Peaceful protest,2,0,40940.0,Demonstrations,1329.0,35.9457,50.906
2021-06-12,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,7522.0,Demonstrations,1329.0,35.9457,50.906
2021-06-19,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,40940.0,Demonstrations,1329.0,35.9457,50.906
2021-06-26,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,40940.0,Demonstrations,1329.0,35.9457,50.906
2021-07-03,Middle East,Iran,Alborz,Protests,Peaceful protest,2,0,48462.0,Demonstrations,1329.0,35.9457,50.906
2021-07-10,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,40940.0,Demonstrations,1329.0,35.9457,50.906
2021-07-17,Middle East,Iran,Alborz,Protests,Peaceful protest,2,0,40940.0,Demonstrations,1329.0,35.9457,50.906
2021-07-24,Middle East,Iran,Alborz,Protests,Peaceful protest,3,0,40940.0,Demonstrations,1329.0,35.9457,50.906
2021-09-04,Middle East,Iran,Alborz,Protests,Peaceful protest,4,0,40940.0,Demonstrations,1329.0,35.9457,50.906
2021-09-11,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,40940.0,Demonstrations,1329.0,35.9457,50.906
2021-09-18,Middle East,Iran,Alborz,Protests,Peaceful protest,3,0,40940.0,Demonstrations,1329.0,35.9457,50.906
2021-09-25,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,40940.0,Demonstrations,1329.0,35.9457,50.906
2021-10-23,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,40940.0,Demonstrations,1329.0,35.9457,50.906
2021-11-13,Middle East,Iran,Alborz,Protests,Peaceful protest,2,0,40940.0,Demonstrations,1329.0,35.9457,50.906
2021-12-11,Middle East,Iran,Alborz,Protests,Peaceful protest,5,0,68166.0,Demonstrations,1329.0,35.9457,50.906
2021-12-18,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,40940.0,Demonstrations,1329.0,35.9457,50.906
2022-01-08,Middle East,Iran,Alborz,Protests,Peaceful protest,2,0,41421.0,Demonstrations,1329.0,35.9457,50.906
2022-01-15,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,41421.0,Demonstrations,1329.0,35.9457,50.906
2022-01-29,Middle East,Iran,Alborz,Protests,Peaceful protest,7,0,68431.0,Demonstrations,1329.0,35.9457,50.906
2022-02-19,Middle East,Iran,Alborz,Protests,Peaceful protest,2,0,41421.0,Demonstrations,1329.0,35.9457,50.906
2022-03-05,Middle East,Iran,Alborz,Protests,Peaceful protest,2,0,41421.0,Demonstrations,1329.0,35.9457,50.906
2022-03-12,Middle East,Iran,Alborz,Protests,Peaceful protest,2,0,41421.0,Demonstrations,1329.0,35.9457,50.906
2022-04-09,Middle East,Iran,Alborz,Protests,Peaceful protest,3,0,41421.0,Demonstrations,1329.0,35.9457,50.906
2022-04-16,Middle East,Iran,Alborz,Protests,Peaceful protest,2,0,41421.0,Demonstrations,1329.0,35.9457,50.906
2022-04-30,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,41421.0,Demonstrations,1329.0,35.9457,50.906
2022-05-07,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,41421.0,Demonstrations,1329.0,35.9457,50.906
2022-05-14,Middle East,Iran,Alborz,Protests,Peaceful protest,2,0,41421.0,Demonstrations,1329.0,35.9457,50.906
2022-05-21,Middle East,Iran,Alborz,Protests,Peaceful protest,1,0,41421.0,Demonstrations,1329.0,35.9457,50.906
2022-06-04,Middle East,Iran,Alborz,Protests,Peaceful protest,4,0,41421.0,Demonstrations,1329.0,35.9457,50.906
